src, length, time
1, 1 , 0.000017 
1, 2 , 0.000114 
1, 3 , 0.000372 
1, 4 , 0.003391 
1, 5 , 0.007717 
1, 6 , 0.013963 
1, 7 , 0.019540 
1, 8 , 0.025064 
1, 9 , 0.029155 
1, 10 , 0.033150 
1, 11 , 0.037500 
1, 12 , 0.041217 
1, 13 , 0.046580 
1, 14 , 0.049020 
1, 15 , 0.051627 
1, 16 , 0.054295 
1, 17 , 0.057693 
1, 18 , 0.060157 
1, 19 , 0.062401 
1, 20 , 0.064333 
1, 21 , 0.066877 
1, 22 , 0.069551 
1, 23 , 0.071686 
1, 24 , 0.073783 
1, 25 , 0.076124 
1, 26 , 0.078841 
1, 27 , 0.081374 
1, 28 , 0.083789 
1, 29 , 0.086216 
1, 30 , 0.088469 
1, 31 , 0.090644 
1, 32 , 0.092965 
1, 33 , 0.095703 
1, 34 , 0.098196 
1, 35 , 0.100426 
1, 36 , 0.103216 
1, 37 , 0.105206 
1, 38 , 0.107321 
1, 39 , 0.109629 
1, 40 , 0.111775 
1, 41 , 0.113745 
1, 42 , 0.115450 
1, 43 , 0.118676 
1, 44 , 0.121016 
1, 45 , 0.123800 
1, 46 , 0.126944 
1, 47 , 0.129646 
1, 48 , 0.131971 
1, 49 , 0.134625 
1, 50 , 0.137547 
1, 51 , 0.140992 
1, 52 , 0.144555 
1, 53 , 0.147505 
1, 54 , 0.150425 
1, 55 , 0.155110 
1, 56 , 0.159266 
1, 57 , 0.163292 
1, 58 , 0.167916 
1, 59 , 0.172358 
1, 60 , 0.176631 
1, 61 , 0.180866 
1, 62 , 0.184545 
1, 63 , 0.188638 
1, 64 , 0.192679 
1, 65 , 0.196381 
1, 66 , 0.199743 
1, 67 , 0.202979 
1, 68 , 0.207236 
1, 69 , 0.211517 
1, 70 , 0.216007 
1, 71 , 0.219530 
1, 72 , 0.222719 
1, 73 , 0.226566 
1, 74 , 0.229269 
1, 75 , 0.231849 
1, 76 , 0.234178 
1, 77 , 0.236311 
1, 78 , 0.238078 
1, 79 , 0.240440 
1, 80 , 0.243008 
1, 81 , 0.245091 
1, 82 , 0.247273 
1, 83 , 0.249348 
1, 84 , 0.251340 
1, 85 , 0.253231 
1, 86 , 0.255875 
1, 87 , 0.258635 
1, 88 , 0.261020 
1, 89 , 0.264050 
1, 90 , 0.266635 
1, 91 , 0.269436 
1, 92 , 0.271870 
1, 93 , 0.274423 
1, 94 , 0.277497 
1, 95 , 0.280209 
1, 96 , 0.282506 
1, 97 , 0.284347 
1, 98 , 0.286403 
1, 99 , 0.288188 
1, 100 , 0.290626 
1, 101 , 0.293077 
1, 102 , 0.295160 
1, 103 , 0.297417 
1, 104 , 0.299490 
1, 105 , 0.301421 
1, 106 , 0.303263 
1, 107 , 0.305039 
1, 108 , 0.307904 
1, 109 , 0.310158 
1, 110 , 0.313082 
1, 111 , 0.315490 
1, 112 , 0.318168 
1, 113 , 0.320593 
1, 114 , 0.323008 
1, 115 , 0.326271 
1, 116 , 0.328826 
1, 117 , 0.331304 
1, 118 , 0.334207 
1, 119 , 0.336871 
1, 120 , 0.338985 
1, 121 , 0.341608 
1, 122 , 0.343693 
1, 123 , 0.345583 
1, 124 , 0.347704 
1, 125 , 0.349998 
1, 126 , 0.352098 
1, 127 , 0.354025 
1, 128 , 0.356043 
1, 129 , 0.358209 
1, 130 , 0.360257 
1, 131 , 0.362190 
1, 132 , 0.364072 
1, 133 , 0.365988 
1, 134 , 0.367637 
1, 135 , 0.369477 
1, 136 , 0.372026 
1, 137 , 0.374413 
1, 138 , 0.376670 
1, 139 , 0.379419 
1, 140 , 0.381793 
1, 141 , 0.383785 
1, 142 , 0.386552 
1, 143 , 0.388949 
1, 144 , 0.391797 
1, 145 , 0.394489 
1, 146 , 0.397055 
1, 147 , 0.399785 
1, 148 , 0.402333 
1, 149 , 0.404687 
1, 150 , 0.407569 
1, 151 , 0.410633 
1, 152 , 0.412761 
1, 153 , 0.414943 
1, 154 , 0.416981 
1, 155 , 0.418756 
1, 156 , 0.420709 
1, 157 , 0.422834 
1, 158 , 0.425441 
1, 159 , 0.427603 
1, 160 , 0.429772 
1, 161 , 0.431903 
1, 162 , 0.433845 
1, 163 , 0.435847 
1, 164 , 0.437812 
1, 165 , 0.439840 
1, 166 , 0.441728 
1, 167 , 0.443752 
1, 168 , 0.445684 
1, 169 , 0.447388 
1, 170 , 0.449221 
1, 171 , 0.451933 
1, 172 , 0.454198 
1, 173 , 0.456131 
1, 174 , 0.459077 
1, 175 , 0.461651 
1, 176 , 0.463797 
1, 177 , 0.466857 
1, 178 , 0.469294 
1, 179 , 0.472046 
1, 180 , 0.474605 
1, 181 , 0.477228 
1, 182 , 0.479975 
1, 183 , 0.482669 
1, 184 , 0.485024 
1, 185 , 0.487749 
1, 186 , 0.490365 
1, 187 , 0.492806 
1, 188 , 0.495837 
1, 189 , 0.498371 
1, 190 , 0.500575 
1, 191 , 0.503755 
1, 192 , 0.505875 
1, 193 , 0.507718 
1, 194 , 0.510379 
1, 195 , 0.512191 
1, 196 , 0.514018 
1, 197 , 0.515972 
1, 198 , 0.518169 
1, 199 , 0.520467 
1, 200 , 0.522579 
1, 201 , 0.524490 
1, 202 , 0.526816 
1, 203 , 0.528985 
1, 204 , 0.530844 
1, 205 , 0.533017 
1, 206 , 0.535183 
1, 207 , 0.537134 
1, 208 , 0.539033 
1, 209 , 0.541221 
1, 210 , 0.543403 
1, 211 , 0.545548 
1, 212 , 0.547312 
1, 213 , 0.549446 
1, 214 , 0.552855 
1, 215 , 0.555531 
1, 216 , 0.558420 
1, 217 , 0.561710 
1, 218 , 0.564800 
1, 219 , 0.567520 
1, 220 , 0.571214 
1, 221 , 0.574279 
1, 222 , 0.577107 
1, 223 , 0.580572 
1, 224 , 0.583188 
1, 225 , 0.586061 
1, 226 , 0.588743 
1, 227 , 0.591680 
1, 228 , 0.594852 
1, 229 , 0.597663 
1, 230 , 0.600306 
1, 231 , 0.603320 
1, 232 , 0.606045 
1, 233 , 0.608633 
1, 234 , 0.612262 
1, 235 , 0.615033 
1, 236 , 0.617283 
1, 237 , 0.620902 
1, 238 , 0.623739 
1, 239 , 0.627297 
1, 240 , 0.629628 
1, 241 , 0.631445 
1, 242 , 0.633384 
1, 243 , 0.635260 
1, 244 , 0.637075 
1, 245 , 0.638877 
1, 246 , 0.640961 
1, 247 , 0.643875 
1, 248 , 0.646937 
1, 249 , 0.649428 
1, 250 , 0.651644 
1, 251 , 0.654307 
1, 252 , 0.657053 
1, 253 , 0.659897 
1, 254 , 0.662323 
1, 255 , 0.664843 
1, 256 , 0.667340 
1, 257 , 0.669749 
1, 258 , 0.672095 
1, 259 , 0.675335 
1, 260 , 0.677858 
1, 261 , 0.680858 
1, 262 , 0.683653 
1, 263 , 0.686055 
1, 264 , 0.688142 
1, 265 , 0.690590 
1, 266 , 0.693854 
1, 267 , 0.695962 
1, 268 , 0.700084 
1, 269 , 0.704954 
1, 270 , 0.707875 
1, 271 , 0.710436 
1, 272 , 0.713774 
1, 273 , 0.716346 
1, 274 , 0.719316 
1, 275 , 0.722402 
1, 276 , 0.725840 
1, 277 , 0.729058 
1, 278 , 0.731694 
1, 279 , 0.734115 
1, 280 , 0.737356 
1, 281 , 0.740252 
1, 282 , 0.742841 
1, 283 , 0.746175 
1, 284 , 0.749399 
1, 285 , 0.751650 
1, 286 , 0.754776 
1, 287 , 0.757580 
1, 288 , 0.760922 
1, 289 , 0.763350 
1, 290 , 0.765786 
1, 291 , 0.768708 
1, 292 , 0.771578 
1, 293 , 0.773939 
1, 294 , 0.777329 
1, 295 , 0.779917 
1, 296 , 0.782189 
1, 297 , 0.785481 
1, 298 , 0.788377 
1, 299 , 0.791725 
1, 300 , 0.794294 
1, 301 , 0.796289 
1, 302 , 0.798224 
1, 303 , 0.800102 
1, 304 , 0.802061 
1, 305 , 0.804425 
1, 306 , 0.806285 
1, 307 , 0.808277 
1, 308 , 0.810840 
1, 309 , 0.813612 
1, 310 , 0.816039 
1, 311 , 0.818611 
1, 312 , 0.821039 
1, 313 , 0.823545 
1, 314 , 0.826348 
1, 315 , 0.828646 
1, 316 , 0.831031 
1, 317 , 0.833170 
1, 318 , 0.835439 
1, 319 , 0.837649 
1, 320 , 0.839780 
1, 321 , 0.842219 
1, 322 , 0.844405 
1, 323 , 0.846642 
1, 324 , 0.848465 
1, 325 , 0.850522 
1, 326 , 0.852493 
1, 327 , 0.854397 
1, 328 , 0.856212 
1, 329 , 0.858656 
1, 330 , 0.860599 
1, 331 , 0.862436 
1, 332 , 0.864208 
1, 333 , 0.866061 
1, 334 , 0.868893 
1, 335 , 0.871412 
1, 336 , 0.873669 
1, 337 , 0.876864 
1, 338 , 0.879286 
1, 339 , 0.881461 
1, 340 , 0.884278 
1, 341 , 0.886737 
1, 342 , 0.888790 
1, 343 , 0.892029 
1, 344 , 0.894475 
1, 345 , 0.896740 
1, 346 , 0.899707 
1, 347 , 0.902147 
1, 348 , 0.905021 
1, 349 , 0.907511 
1, 350 , 0.910264 
1, 351 , 0.913357 
1, 352 , 0.915799 
1, 353 , 0.918163 
1, 354 , 0.921200 
1, 355 , 0.924021 
1, 356 , 0.926423 
1, 357 , 0.929427 
1, 358 , 0.931953 
1, 359 , 0.934750 
1, 360 , 0.938118 
1, 361 , 0.940524 
1, 362 , 0.943474 
1, 363 , 0.945903 
1, 364 , 0.948170 
1, 365 , 0.951436 
1, 366 , 0.954258 
1, 367 , 0.956403 
1, 368 , 0.959531 
1, 369 , 0.962542 
1, 370 , 0.964857 
1, 371 , 0.967819 
1, 372 , 0.970681 
1, 373 , 0.974093 
1, 374 , 0.976938 
1, 375 , 0.979251 
1, 376 , 0.981110 
1, 377 , 0.982909 
1, 378 , 0.984756 
1, 379 , 0.986607 
1, 380 , 0.988548 
1, 381 , 0.990299 
1, 382 , 0.992611 
1, 383 , 0.994782 
1, 384 , 0.996513 
1, 385 , 0.998782 
1, 386 , 1.001049 
1, 387 , 1.003523 
1, 388 , 1.005619 
1, 389 , 1.007885 
1, 390 , 1.010179 
1, 391 , 1.012253 
1, 392 , 1.014353 
1, 393 , 1.016501 
1, 394 , 1.018624 
1, 395 , 1.020418 
1, 396 , 1.022630 
1, 397 , 1.025075 
1, 398 , 1.027171 
1, 399 , 1.029443 
1, 400 , 1.031765 
1, 401 , 1.033824 
1, 402 , 1.035796 
1, 403 , 1.037795 
1, 404 , 1.039718 
1, 405 , 1.041844 
1, 406 , 1.044000 
1, 407 , 1.045955 
1, 408 , 1.047906 
1, 409 , 1.049571 
1, 410 , 1.051422 
1, 411 , 1.053257 
1, 412 , 1.054938 
1, 413 , 1.056784 
1, 414 , 1.058866 
1, 415 , 1.060733 
1, 416 , 1.062528 
1, 417 , 1.065233 
1, 418 , 1.067465 
1, 419 , 1.069438 
1, 420 , 1.072117 
1, 421 , 1.074421 
1, 422 , 1.077315 
1, 423 , 1.079731 
1, 424 , 1.082039 
1, 425 , 1.084795 
1, 426 , 1.087205 
1, 427 , 1.089488 
1, 428 , 1.092376 
1, 429 , 1.095151 
1, 430 , 1.097297 
1, 431 , 1.100519 
1, 432 , 1.102918 
1, 433 , 1.105093 
1, 434 , 1.108176 
1, 435 , 1.110611 
1, 436 , 1.113639 
1, 437 , 1.116162 
1, 438 , 1.118487 
1, 439 , 1.121225 
1, 440 , 1.123627 
1, 441 , 1.126070 
1, 442 , 1.129992 
1, 443 , 1.132470 
1, 444 , 1.134583 
1, 445 , 1.137400 
1, 446 , 1.139716 
1, 447 , 1.143003 
1, 448 , 1.145850 
1, 449 , 1.148304 
1, 450 , 1.151072 
1, 451 , 1.153399 
1, 452 , 1.155635 
1, 453 , 1.158728 
1, 454 , 1.161481 
1, 455 , 1.163764 
1, 456 , 1.167128 
1, 457 , 1.169841 
1, 458 , 1.172034 
1, 459 , 1.175283 
1, 460 , 1.177893 
1, 461 , 1.180610 
1, 462 , 1.183118 
1, 463 , 1.185998 
1, 464 , 1.188856 
1, 465 , 1.191713 
1, 466 , 1.194227 
1, 467 , 1.197367 
1, 468 , 1.199759 
1, 469 , 1.201639 
1, 470 , 1.203426 
1, 471 , 1.205317 
1, 472 , 1.206993 
1, 473 , 1.209114 
1, 474 , 1.211490 
1, 475 , 1.213299 
1, 476 , 1.215060 
1, 477 , 1.216871 
1, 478 , 1.218618 
1, 479 , 1.220299 
1, 480 , 1.222355 
1, 481 , 1.225035 
1, 482 , 1.227508 
1, 483 , 1.229538 
1, 484 , 1.231951 
1, 485 , 1.234019 
1, 486 , 1.235827 
1, 487 , 1.237893 
1, 488 , 1.239803 
1, 489 , 1.242011 
1, 490 , 1.244068 
1, 491 , 1.246098 
1, 492 , 1.248127 
1, 493 , 1.250000 
1, 494 , 1.251882 
1, 495 , 1.253850 
1, 496 , 1.255724 
1, 497 , 1.257501 
1, 498 , 1.259675 
1, 499 , 1.261728 
1, 500 , 1.263417 
1, 501 , 1.265389 
1, 502 , 1.267274 
1, 503 , 1.269025 
1, 504 , 1.270712 
1, 505 , 1.272467 
1, 506 , 1.274336 
1, 507 , 1.276259 
1, 508 , 1.278068 
1, 509 , 1.279928 
1, 510 , 1.281839 
1, 511 , 1.283481 
1, 512 , 1.285425 
1, 513 , 1.287352 
1, 514 , 1.289053 
1, 515 , 1.290998 
1, 516 , 1.293111 
1, 517 , 1.294922 
1, 518 , 1.296668 
1, 519 , 1.298391 
1, 520 , 1.301374 
1, 521 , 1.304285 
1, 522 , 1.306740 
1, 523 , 1.309418 
1, 524 , 1.312305 
1, 525 , 1.314713 
1, 526 , 1.316934 
1, 527 , 1.319644 
1, 528 , 1.322014 
1, 529 , 1.324242 
1, 530 , 1.327492 
1, 531 , 1.329979 
1, 532 , 1.332183 
1, 533 , 1.335003 
1, 534 , 1.337471 
1, 535 , 1.340208 
1, 536 , 1.342944 
1, 537 , 1.345694 
1, 538 , 1.348598 
1, 539 , 1.351055 
1, 540 , 1.353394 
1, 541 , 1.356548 
1, 542 , 1.359531 
1, 543 , 1.361727 
1, 544 , 1.364617 
1, 545 , 1.367626 
1, 546 , 1.370426 
1, 547 , 1.373594 
1, 548 , 1.376239 
1, 549 , 1.378987 
1, 550 , 1.381300 
1, 551 , 1.383596 
1, 552 , 1.386787 
1, 553 , 1.389331 
1, 554 , 1.391831 
1, 555 , 1.394740 
1, 556 , 1.397171 
1, 557 , 1.399678 
1, 558 , 1.402551 
1, 559 , 1.405154 
1, 560 , 1.407531 
1, 561 , 1.411127 
1, 562 , 1.413523 
1, 563 , 1.416221 
1, 564 , 1.418589 
1, 565 , 1.420854 
1, 566 , 1.423593 
1, 567 , 1.426282 
1, 568 , 1.429151 
1, 569 , 1.432350 
1, 570 , 1.435027 
1, 571 , 1.437240 
1, 572 , 1.440155 
1, 573 , 1.442844 
1, 574 , 1.445033 
1, 575 , 1.447921 
1, 576 , 1.450233 
1, 577 , 1.452927 
1, 578 , 1.455254 
1, 579 , 1.458245 
1, 580 , 1.461592 
1, 581 , 1.464200 
1, 582 , 1.466559 
1, 583 , 1.469576 
1, 584 , 1.471868 
1, 585 , 1.473821 
1, 586 , 1.475811 
1, 587 , 1.477730 
1, 588 , 1.479583 
1, 589 , 1.481411 
1, 590 , 1.483477 
1, 591 , 1.485385 
1, 592 , 1.487210 
1, 593 , 1.489096 
1, 594 , 1.491057 
1, 595 , 1.493206 
1, 596 , 1.494977 
1, 597 , 1.496882 
1, 598 , 1.499513 
1, 599 , 1.501461 
1, 600 , 1.503991 
1, 601 , 1.506262 
1, 602 , 1.508862 
1, 603 , 1.511097 
1, 604 , 1.513172 
1, 605 , 1.515201 
1, 606 , 1.517038 
1, 607 , 1.518908 
1, 608 , 1.520874 
1, 609 , 1.522859 
1, 610 , 1.524843 
1, 611 , 1.527125 
1, 612 , 1.529253 
1, 613 , 1.531009 
1, 614 , 1.533070 
1, 615 , 1.535035 
1, 616 , 1.537125 
1, 617 , 1.538941 
1, 618 , 1.541017 
1, 619 , 1.543142 
1, 620 , 1.545043 
1, 621 , 1.546889 
1, 622 , 1.548802 
1, 623 , 1.550701 
1, 624 , 1.552373 
1, 625 , 1.554239 
1, 626 , 1.556097 
1, 627 , 1.557974 
1, 628 , 1.559999 
1, 629 , 1.561875 
1, 630 , 1.563631 
1, 631 , 1.565403 
1, 632 , 1.567200 
1, 633 , 1.569047 
1, 634 , 1.570728 
1, 635 , 1.572395 
1, 636 , 1.574309 
1, 637 , 1.576325 
1, 638 , 1.577974 
1, 639 , 1.579733 
1, 640 , 1.581650 
1, 641 , 1.583417 
1, 642 , 1.585354 
1, 643 , 1.587184 
1, 644 , 1.588914 
1, 645 , 1.590804 
1, 646 , 1.592781 
1, 647 , 1.594647 
1, 648 , 1.597502 
1, 649 , 1.600967 
1, 650 , 1.603547 
1, 651 , 1.606427 
1, 652 , 1.609136 
1, 653 , 1.611652 
1, 654 , 1.614514 
1, 655 , 1.616957 
1, 656 , 1.619183 
1, 657 , 1.622059 
1, 658 , 1.625038 
1, 659 , 1.627606 
1, 660 , 1.631196 
1, 661 , 1.634341 
1, 662 , 1.638160 
1, 663 , 1.642134 
1, 664 , 1.645877 
1, 665 , 1.650354 
1, 666 , 1.654237 
1, 667 , 1.658064 
1, 668 , 1.662609 
1, 669 , 1.666783 
1, 670 , 1.671044 
1, 671 , 1.675852 
1, 672 , 1.679822 
1, 673 , 1.683095 
1, 674 , 1.688024 
1, 675 , 1.692517 
1, 676 , 1.696922 
1, 677 , 1.700734 
1, 678 , 1.704345 
1, 679 , 1.708919 
1, 680 , 1.713087 
1, 681 , 1.717686 
1, 682 , 1.721913 
1, 683 , 1.725124 
1, 684 , 1.727869 
1, 685 , 1.731005 
1, 686 , 1.733454 
1, 687 , 1.735687 
1, 688 , 1.739054 
1, 689 , 1.741824 
1, 690 , 1.744747 
1, 691 , 1.747126 
1, 692 , 1.749449 
1, 693 , 1.752293 
1, 694 , 1.754763 
1, 695 , 1.757100 
1, 696 , 1.760389 
1, 697 , 1.763253 
1, 698 , 1.765584 
1, 699 , 1.768815 
1, 700 , 1.771447 
1, 701 , 1.773608 
1, 702 , 1.776899 
1, 703 , 1.779870 
1, 704 , 1.782504 
1, 705 , 1.784869 
1, 706 , 1.787108 
1, 707 , 1.789831 
1, 708 , 1.792650 
1, 709 , 1.795132 
1, 710 , 1.798306 
1, 711 , 1.800914 
1, 712 , 1.803027 
1, 713 , 1.805859 
1, 714 , 1.808935 
1, 715 , 1.811093 
1, 716 , 1.813938 
1, 717 , 1.816294 
1, 718 , 1.818937 
1, 719 , 1.821257 
1, 720 , 1.823523 
1, 721 , 1.826589 
1, 722 , 1.829175 
1, 723 , 1.831511 
1, 724 , 1.834739 
1, 725 , 1.837824 
1, 726 , 1.840029 
1, 727 , 1.843353 
1, 728 , 1.845675 
1, 729 , 1.847373 
1, 730 , 1.849247 
1, 731 , 1.851083 
1, 732 , 1.852914 
1, 733 , 1.854742 
1, 734 , 1.856605 
1, 735 , 1.859047 
1, 736 , 1.861067 
1, 737 , 1.862773 
1, 738 , 1.864646 
1, 739 , 1.866513 
1, 740 , 1.868185 
1, 741 , 1.869967 
1, 742 , 1.871719 
1, 743 , 1.873414 
1, 744 , 1.875743 
1, 745 , 1.878255 
1, 746 , 1.880758 
1, 747 , 1.882895 
1, 748 , 1.885112 
1, 749 , 1.887581 
1, 750 , 1.889894 
1, 751 , 1.891909 
1, 752 , 1.894229 
1, 753 , 1.896381 
1, 754 , 1.898198 
1, 755 , 1.900267 
1, 756 , 1.902302 
1, 757 , 1.904279 
1, 758 , 1.906223 
1, 759 , 1.908416 
1, 760 , 1.910542 
1, 761 , 1.912531 
1, 762 , 1.914527 
1, 763 , 1.916612 
1, 764 , 1.918697 
1, 765 , 1.920511 
1, 766 , 1.922547 
1, 767 , 1.924772 
1, 768 , 1.926705 
1, 769 , 1.928696 
1, 770 , 1.930707 
1, 771 , 1.932623 
1, 772 , 1.934431 
1, 773 , 1.936330 
1, 774 , 1.938233 
1, 775 , 1.940004 
1, 776 , 1.942119 
1, 777 , 1.944164 
1, 778 , 1.946176 
1, 779 , 1.947929 
1, 780 , 1.949816 
1, 781 , 1.951706 
1, 782 , 1.953451 
1, 783 , 1.955384 
1, 784 , 1.957290 
1, 785 , 1.959337 
1, 786 , 1.961179 
1, 787 , 1.963083 
1, 788 , 1.964916 
1, 789 , 1.966706 
1, 790 , 1.968473 
1, 791 , 1.970229 
1, 792 , 1.972048 
1, 793 , 1.973664 
1, 794 , 1.975665 
1, 795 , 1.977570 
1, 796 , 1.979274 
1, 797 , 1.981128 
1, 798 , 1.982910 
1, 799 , 1.984623 
1, 800 , 1.986347 
1, 801 , 1.988077 
1, 802 , 1.989722 
1, 803 , 1.991533 
1, 804 , 1.993316 
1, 805 , 1.995061 
1, 806 , 1.998007 
1, 807 , 2.000578 
1, 808 , 2.003015 
1, 809 , 2.006125 
1, 810 , 2.009125 
1, 811 , 2.011279 
1, 812 , 2.014167 
1, 813 , 2.016636 
1, 814 , 2.018791 
1, 815 , 2.021720 
1, 816 , 2.024239 
1, 817 , 2.027259 
1, 818 , 2.029797 
1, 819 , 2.032165 
1, 820 , 2.035049 
1, 821 , 2.037403 
1, 822 , 2.039707 
1, 823 , 2.043300 
1, 824 , 2.045879 
1, 825 , 2.048041 
1, 826 , 2.051093 
1, 827 , 2.053467 
1, 828 , 2.055564 
1, 829 , 2.058885 
1, 830 , 2.061518 
1, 831 , 2.064194 
1, 832 , 2.066577 
1, 833 , 2.068874 
1, 834 , 2.072007 
1, 835 , 2.074741 
1, 836 , 2.077296 
1, 837 , 2.080186 
1, 838 , 2.082847 
1, 839 , 2.085010 
1, 840 , 2.088223 
1, 841 , 2.091077 
1, 842 , 2.093522 
1, 843 , 2.096558 
1, 844 , 2.099056 
1, 845 , 2.102182 
1, 846 , 2.104548 
1, 847 , 2.107019 
1, 848 , 2.110455 
1, 849 , 2.113091 
1, 850 , 2.115354 
1, 851 , 2.118049 
1, 852 , 2.120468 
1, 853 , 2.122548 
1, 854 , 2.125555 
1, 855 , 2.128571 
1, 856 , 2.130799 
1, 857 , 2.134157 
1, 858 , 2.136724 
1, 859 , 2.139630 
1, 860 , 2.142205 
1, 861 , 2.144626 
1, 862 , 2.147354 
1, 863 , 2.149673 
1, 864 , 2.151853 
1, 865 , 2.154647 
1, 866 , 2.157581 
1, 867 , 2.159817 
1, 868 , 2.163099 
1, 869 , 2.165740 
1, 870 , 2.167986 
1, 871 , 2.171227 
1, 872 , 2.173592 
1, 873 , 2.176578 
1, 874 , 2.178999 
1, 875 , 2.181295 
1, 876 , 2.183956 
1, 877 , 2.186331 
1, 878 , 2.188961 
1, 879 , 2.191863 
1, 880 , 2.194411 
1, 881 , 2.196536 
1, 882 , 2.199685 
1, 883 , 2.202301 
1, 884 , 2.205660 
1, 885 , 2.209609 
1, 886 , 2.212943 
1, 887 , 2.216831 
1, 888 , 2.221640 
1, 889 , 2.227481 
1, 890 , 2.231555 
1, 891 , 2.234914 
1, 892 , 2.238194 
1, 893 , 2.242293 
1, 894 , 2.245663 
1, 895 , 2.248845 
1, 896 , 2.254493 
1, 897 , 2.259240 
1, 898 , 2.263717 
1, 899 , 2.268090 
1, 900 , 2.273819 
1, 901 , 2.279779 
1, 902 , 2.284732 
1, 903 , 2.290223 
1, 904 , 2.296534 
1, 905 , 2.301760 
1, 906 , 2.306332 
1, 907 , 2.310770 
1, 908 , 2.314640 
1, 909 , 2.318037 
1, 910 , 2.322489 
1, 911 , 2.325451 
1, 912 , 2.327923 
1, 913 , 2.330014 
1, 914 , 2.332100 
1, 915 , 2.334036 
1, 916 , 2.335953 
1, 917 , 2.338137 
1, 918 , 2.340374 
1, 919 , 2.342562 
1, 920 , 2.345118 
1, 921 , 2.347127 
1, 922 , 2.349261 
1, 923 , 2.351127 
1, 924 , 2.353060 
1, 925 , 2.355201 
1, 926 , 2.357226 
1, 927 , 2.359422 
1, 928 , 2.362477 
1, 929 , 2.365213 
1, 930 , 2.367556 
1, 931 , 2.369875 
1, 932 , 2.373725 
1, 933 , 2.376330 
1, 934 , 2.378465 
1, 935 , 2.381142 
1, 936 , 2.383359 
1, 937 , 2.385308 
1, 938 , 2.387758 
1, 939 , 2.390151 
1, 940 , 2.392373 
1, 941 , 2.394462 
1, 942 , 2.396590 
1, 943 , 2.398775 
1, 944 , 2.400762 
1, 945 , 2.402789 
1, 946 , 2.405175 
1, 947 , 2.407462 
1, 948 , 2.409298 
1, 949 , 2.411504 
1, 950 , 2.413660 
1, 951 , 2.415520 
1, 952 , 2.417701 
1, 953 , 2.419693 
1, 954 , 2.422010 
1, 955 , 2.424069 
1, 956 , 2.426062 
1, 957 , 2.428109 
1, 958 , 2.430181 
1, 959 , 2.431899 
1, 960 , 2.433786 
1, 961 , 2.435715 
1, 962 , 2.437514 
1, 963 , 2.439686 
1, 964 , 2.441677 
1, 965 , 2.443527 
1, 966 , 2.445310 
1, 967 , 2.447177 
1, 968 , 2.449026 
1, 969 , 2.450744 
1, 970 , 2.452513 
1, 971 , 2.454434 
1, 972 , 2.456555 
1, 973 , 2.458176 
1, 974 , 2.460033 
1, 975 , 2.461935 
1, 976 , 2.463521 
1, 977 , 2.465289 
1, 978 , 2.467057 
1, 979 , 2.468698 
1, 980 , 2.470338 
1, 981 , 2.472353 
1, 982 , 2.474194 
1, 983 , 2.475857 
1, 984 , 2.477556 
1, 985 , 2.479271 
1, 986 , 2.481016 
1, 987 , 2.482538 
1, 988 , 2.484163 
1, 989 , 2.485832 
1, 990 , 2.487420 
1, 991 , 2.489251 
1, 992 , 2.491006 
1, 993 , 2.492696 
1, 994 , 2.494334 
1, 995 , 2.495998 
1, 996 , 2.497576 
1, 997 , 2.499143 
1, 998 , 2.500708 
1, 999 , 2.502317 
1, 1000 , 2.504092 